"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1400000US17089850708","Census Tract 8507.08, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850709","Census Tract 8507.09, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850710","Census Tract 8507.10, Kane County, Illinois","20","20","20","0","0","0","0","0","0","0",
"1400000US17089850711","Census Tract 8507.11, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089850800","Census Tract 8508, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851000","Census Tract 8510, Kane County, Illinois","481","0","0","0","0","0","481","459","0","22",
"1400000US17089851101","Census Tract 8511.01, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851102","Census Tract 8511.02, Kane County, Illinois","11","7","0","7","0","0","4","0","0","4",
"1400000US17089851301","Census Tract 8513.01, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851302","Census Tract 8513.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851400","Census Tract 8514, Kane County, Illinois","49","49","0","0","49","0","0","0","0","0",
"1400000US17089851500","Census Tract 8515, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851600","Census Tract 8516, Kane County, Illinois","83","55","0","0","55","0","28","0","0","28",
"1400000US17089851801","Census Tract 8518.01, Kane County, Illinois","224","224","0","0","224","0","0","0","0","0",
"1400000US17089851904","Census Tract 8519.04, Kane County, Illinois","359","352","0","0","352","0","7","0","0","7",
"1400000US17089851907","Census Tract 8519.07, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851908","Census Tract 8519.08, Kane County, Illinois","17","0","0","0","0","0","17","0","0","17",
"1400000US17089851909","Census Tract 8519.09, Kane County, Illinois","129","129","0","0","129","0","0","0","0","0",
"1400000US17089851910","Census Tract 8519.10, Kane County, Illinois","4","4","0","0","4","0","0","0","0","0",
"1400000US17089851911","Census Tract 8519.11, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
